title,amount,date,category
Transaction1 on Shopping,190.0,"Wed, Mar 01, 2023",Shopping
Transaction2 on Food,12.0,"Wed, Mar 01, 2023",Food
Transaction3 on Shopping,110.0,"Wed, Mar 01, 2023",Shopping
Transaction4 on Food,8.0,"Wed, Mar 01, 2023",Food
Transaction5 on Food,162.0,"Wed, Mar 01, 2023",Food
Transaction6 on Fitness,146.0,"Wed, Mar 01, 2023",Fitness
Transaction7 on Shopping,122.0,"Wed, Mar 01, 2023",Shopping
Transaction8 on Food,149.0,"Wed, Mar 01, 2023",Food
Transaction9 on Fitness,179.0,"Wed, Mar 01, 2023",Fitness
Transaction10 on Fitness,72.0,"Wed, Mar 01, 2023",Fitness
Transaction11 on Food,41.0,"Wed, Mar 01, 2023",Food
Transaction12 on Fitness,51.0,"Wed, Mar 01, 2023",Fitness
Transaction13 on Shopping,175.0,"Wed, Mar 01, 2023",Shopping
Transaction14 on Food,47.0,"Wed, Mar 01, 2023",Food
Transaction15 on Shopping,136.0,"Wed, Mar 01, 2023",Shopping
Transaction16 on Transportation,180.0,"Wed, Mar 01, 2023",Transportation
Transaction17 on Fitness,22.0,"Wed, Mar 01, 2023",Fitness
Transaction18 on Food,55.0,"Wed, Mar 01, 2023",Food
Transaction19 on Fitness,101.0,"Wed, Mar 01, 2023",Fitness
Transaction20 on Shopping,42.0,"Wed, Mar 01, 2023",Shopping
Transaction1 on Shopping,126.0,"Thu, Mar 02, 2023",Shopping
Transaction2 on Shopping,188.0,"Thu, Mar 02, 2023",Shopping
Transaction3 on Entertainment,41.0,"Thu, Mar 02, 2023",Entertainment
Transaction4 on Food,135.0,"Thu, Mar 02, 2023",Food
Transaction5 on Food,22.0,"Thu, Mar 02, 2023",Food
Transaction6 on Transportation,151.0,"Thu, Mar 02, 2023",Transportation
Transaction7 on Entertainment,163.0,"Thu, Mar 02, 2023",Entertainment
Transaction8 on Entertainment,57.0,"Thu, Mar 02, 2023",Entertainment
Transaction9 on Entertainment,112.0,"Thu, Mar 02, 2023",Entertainment
Transaction10 on Transportation,167.0,"Thu, Mar 02, 2023",Transportation
Transaction11 on Shopping,42.0,"Thu, Mar 02, 2023",Shopping
Transaction12 on Fitness,59.0,"Thu, Mar 02, 2023",Fitness
Transaction13 on Transportation,129.0,"Thu, Mar 02, 2023",Transportation
Transaction14 on Fitness,131.0,"Thu, Mar 02, 2023",Fitness
Transaction15 on Fitness,20.0,"Thu, Mar 02, 2023",Fitness
Transaction16 on Shopping,34.0,"Thu, Mar 02, 2023",Shopping
Transaction17 on Shopping,40.0,"Thu, Mar 02, 2023",Shopping
Transaction18 on Shopping,72.0,"Thu, Mar 02, 2023",Shopping
Transaction19 on Food,23.0,"Thu, Mar 02, 2023",Food
Transaction20 on Shopping,151.0,"Thu, Mar 02, 2023",Shopping
Transaction1 on Entertainment,176.0,"Fri, Mar 03, 2023",Entertainment
Transaction2 on Fitness,128.0,"Fri, Mar 03, 2023",Fitness
Transaction3 on Transportation,122.0,"Fri, Mar 03, 2023",Transportation
